rowid,code_module,code_presentation,id_student,click_dataplus,click_dualpane,click_externalquiz,click_folder,click_forumng,click_glossary,click_homepage,click_htmlactivity,click_oucollaborate,click_oucontent,click_ouelluminate,click_ouwiki,click_page,click_questionnaire,click_quiz,click_repeatactivity,click_resource,click_sharedsubpage,click_subpage,click_url,age_band,disability,gender,highest_education,imd_band,num_of_prev_attempts,region,student_name,studied_credits,descr_module,final_result
9282,CCC,2014B,532020,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,HE Qualification,30-40%,0,Scotland,Lillian Harrison,90,Banco de Dados,LA :: Prev :: Sucesso
10977,CCC,2014J,465331,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,A Level or Equivalent,90-100%,0,London Region,Joel Ramos,220,Banco de Dados,LA :: Prev :: Em risco
11302,CCC,2014J,554459,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,A Level or Equivalent,40-50%,0,North Western Region,Robert Bailey,60,Banco de Dados,LA :: Prev :: Em risco
12205,CCC,2014J,645698,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,Lower Than A Level,50-60%,0,West Midlands Region,Brayden Gray,30,Banco de Dados,LA :: Prev :: Sucesso
13047,CCC,2014J,2559144,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,A Level or Equivalent,10-20,0,London Region,Maddison Neal,120,Banco de Dados,LA :: Prev :: Em risco
16587,DDD,2014B,477180,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,Lower Than A Level,70-80%,2,East Midlands Region,William Butler,130,Estrutura de Dados,LA :: Prev :: Em risco
17526,DDD,2014B,2611371,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,1,M,Lower Than A Level,20-30%,1,West Midlands Region,Greg Harper,150,Estrutura de Dados,LA :: Prev :: Em risco
17638,DDD,2014J,154073,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,A Level or Equivalent,80-90%,0,South East Region,Ralph Wallace,90,Estrutura de Dados,LA :: Prev :: Em risco
18809,DDD,2014J,676865,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,A Level or Equivalent,50-60%,0,South West Region,Emily Burns,120,Estrutura de Dados,LA :: Prev :: Em risco
19315,DDD,2014J,2542116,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,M,HE Qualification,0-10%,0,Scotland,Guy Jensen,60,Estrutura de Dados,LA :: Prev :: Sucesso
20959,EEE,2014B,630047,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,0-35,0,M,Lower Than A Level,10-20,0,South East Region,Sharon Robertson,60,Engenharia de Software,LA :: Prev :: Sucesso
21058,EEE,2014B,1663815,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,M,HE Qualification,60-70%,0,Scotland,Florence Garza,30,Engenharia de Software,LA :: Prev :: Em risco
21261,EEE,2014J,479987,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,HE Qualification,60-70%,1,Scotland,Stephanie Ryan,60,Engenharia de Software,LA :: Prev :: Em risco
21772,EEE,2014J,652606,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,Lower Than A Level,30-40%,0,North Region,Ellie Ward,90,Engenharia de Software,LA :: Prev :: Em risco
22000,EEE,2014J,683728,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,M,A Level or Equivalent,40-50%,0,North Region,Gilbert Howell,60,Engenharia de Software,LA :: Prev :: Sucesso
26828,FFF,2014B,602571,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,Lower Than A Level,20-30%,0,Yorkshire Region,Marvin Alexander,60,Arquitetura de Computadores,LA :: Prev :: Em risco
27477,FFF,2014B,633505,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,Lower Than A Level,90-100%,0,West Midlands Region,Martha Gonzales,60,Arquitetura de Computadores,LA :: Prev :: Sucesso
28200,FFF,2014J,562064,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,A Level or Equivalent,50-60%,1,North Western Region,Alan Cox,120,Arquitetura de Computadores,LA :: Prev :: Sucesso
28521,FFF,2014J,629686,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,M,Lower Than A Level,50-60%,0,Wales,Michelle Hawkins,120,Arquitetura de Computadores,LA :: Prev :: Em risco
29831,FFF,2014J,697998,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(2) uso moderado,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,M,Lower Than A Level,90-100%,0,East Anglian Region,Joe Mitchell,120,Arquitetura de Computadores,LA :: Prev :: Sucesso
31343,GGG,2014B,614249,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,F,Lower Than A Level,50-60%,0,North Western Region,Alison Lee,30,Gerenciamento de Projetos,LA :: Prev :: Em risco
31442,GGG,2014B,621342,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,F,HE Qualification,0-10%,0,London Region,Lily Ward,30,Gerenciamento de Projetos,LA :: Prev :: Em risco
31922,GGG,2014J,513166,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,1,F,Lower Than A Level,50-60%,0,South East Region,Steve Fernandez,30,Gerenciamento de Projetos,LA :: Prev :: Em risco
32210,GGG,2014J,651436,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,35-55,0,F,Lower Than A Level,20-30%,0,West Midlands Region,Kelly Olson,30,Gerenciamento de Projetos,LA :: Prev :: Em risco
32289,GGG,2014J,674927,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,(1) pouco uso,0-35,0,F,Lower Than A Level,0-10%,0,West Midlands Region,Neil Chavez,30,Gerenciamento de Projetos,LA :: Prev :: Em risco
